tid;class;time;latitude;longitude;gid;semantic_stop_id;semantic_move_id
195004    ;5 ;336;121.7;42.8;213;;
195004    ;5 ;342;124.1;42.9;214;;
195004    ;5 ;348;126.8;43;215;;
195004    ;5 ;354;130;43.1;216;;
195004    ;5 ;360;133.8;43.2;217;;
195004    ;5 ;366;137.9;43.4;218;;
195004    ;5 ;372;142.1;44;219;;
195004    ;5 ;378;146.4;45.3;220;;
195004    ;5 ;384;151.5;47.1;221;;
195004    ;5 ;390;156.8;49;222;;
195004    ;5 ;396;161.4;50.9;223;;
195004    ;5 ;402;165.3;52.8;224;;
195004    ;5 ;408;168.4;54.3;225;;
195004    ;5 ;414;170.9;55.2;226;;
195005    ;3 ;0;95.9;19.1;227;538;
195005    ;3 ;6;96.5;20.2;228;538;
195005    ;3 ;12;96.6;20.4;229;538;
195005    ;3 ;18;96.8;20.6;230;538;
195005    ;3 ;24;97;20.8;231;538;
195005    ;3 ;30;97.2;21;232;538;
195005    ;3 ;36;97.5;21.4;233;538;
195005    ;3 ;42;97.8;22;234;1789;
195005    ;3 ;48;98;22.8;235;1789;
195005    ;3 ;54;98;23.7;236;;
195005    ;3 ;60;97.6;24.9;237;1790;
195005    ;3 ;66;97.2;26;238;1790;
195005    ;3 ;72;96.8;26.9;239;539;
195005    ;3 ;78;96.8;27.4;240;539;
195005    ;3 ;84;96.2;28;241;539;
195005    ;3 ;90;96.9;27.9;242;539;
195005    ;3 ;96;97.1;28.3;243;539;
195005    ;3 ;102;97.4;28.7;244;539;
195005    ;3 ;108;97;29;245;539;
195005    ;3 ;114;97.4;28.3;246;539;
195005    ;3 ;120;97.8;28.2;247;539;
195005    ;3 ;126;98.2;28.3;248;539;
195005    ;3 ;132;98.5;28.6;249;539;
195005    ;3 ;138;98.8;29.3;250;539;
195005    ;3 ;144;98.3;30;251;;
195005    ;3 ;150;97;31.2;252;1791;
195005    ;3 ;156;95.5;32.4;253;1791;
195005    ;3 ;162;94.1;33.4;254;1791;
195005    ;3 ;168;93;34.1;255;540;
195005    ;3 ;174;92.3;34.6;256;540;
195005    ;3 ;180;91.9;34.8;257;540;
195005    ;3 ;186;91.4;35;258;540;
195005    ;3 ;192;90.8;35.3;259;540;
195005    ;3 ;198;90.3;35.6;260;540;
195005    ;3 ;204;89.8;35.9;261;;
195006    ;4 ;0;139.9;15.6;262;304;
195006    ;4 ;6;138.9;15.7;263;304;
195006    ;4 ;12;137.7;15.7;264;304;
195006    ;4 ;18;136.6;15.8;265;304;
195006    ;4 ;24;135.5;15.9;266;304;
195006    ;4 ;30;134.5;16.1;267;;
195006    ;4 ;36;133.1;16.6;268;305;
195006    ;4 ;42;131.7;17.3;269;305;
195006    ;4 ;48;130.6;18.1;270;305;
195006    ;4 ;54;129.8;18.9;271;305;
195006    ;4 ;60;129.2;19.5;272;305;
195006    ;4 ;66;128.7;19.9;273;76;
195006    ;4 ;72;128.2;20.2;274;76;
195006    ;4 ;78;127.7;20.5;275;76;
195006    ;4 ;84;127;21;276;76;
195006    ;4 ;90;126.3;21.4;277;76;
195006    ;4 ;96;125.7;21.8;278;306;
195006    ;4 ;102;125.3;22;279;77;
195006    ;4 ;108;124.9;22.2;280;77;
195006    ;4 ;114;124.6;22.4;281;77;
195006    ;4 ;120;124.3;22.5;282;77;
195006    ;4 ;126;123.8;22.7;283;77;
195006    ;4 ;132;123.1;22.8;284;77;
195006    ;4 ;138;122.4;23.1;285;77;
195006    ;4 ;144;121.7;23.5;286;307;
195006    ;4 ;150;121;24;287;307;
195006    ;4 ;156;120.6;24.6;288;307;
195006    ;4 ;162;120.3;25.5;289;307;
195006    ;4 ;168;120.2;26.6;290;307;
195006    ;4 ;174;120.3;28.3;291;;
195006    ;4 ;180;120.9;30.6;292;;
195006    ;4 ;186;122.3;33;293;;
195006    ;4 ;192;124.1;35;294;;
195006    ;4 ;198;126.3;36.8;295;;
195006    ;4 ;204;128.8;38.2;296;;
195006    ;4 ;210;131.5;39.3;297;;
195006    ;4 ;216;137.2;41.9;298;;
195007    ;2 ;0;127.3;24.4;299;12;
195007    ;2 ;6;127.6;25.2;300;12;
195007    ;2 ;12;127.7;25.9;301;12;
195007    ;2 ;18;127.6;26.6;302;12;
195007    ;2 ;24;127.2;27.4;303;12;
195007    ;2 ;30;126.6;28.1;304;51;
195007    ;2 ;36;125.8;28.7;305;51;
195007    ;2 ;42;124.9;29.1;306;;
195007    ;2 ;48;123.9;29.4;307;52;
195007    ;2 ;54;122.8;29.7;308;52;
195007    ;2 ;60;121;30.1;309;52;
195007    ;2 ;66;119.3;30.3;310;52;
195007    ;2 ;72;118.5;30.3;311;;
195007    ;2 ;78;117.8;30.3;312;53;
195007    ;2 ;84;116.8;30.3;313;13;
195007    ;2 ;90;116.2;30.3;314;13;
195007    ;2 ;96;116;30.3;315;13;
195007    ;2 ;102;115.9;30.3;316;13;
195007    ;2 ;108;115.7;30.3;317;13;
195007    ;2 ;114;115.6;30.3;318;13;
195007    ;2 ;120;115.3;30.3;319;13;
195007    ;2 ;126;114.9;30.4;320;13;
195007    ;2 ;132;114.3;30.7;321;13;
195007    ;2 ;138;113.7;31;322;13;
195007    ;2 ;144;113.3;31.2;323;53;
195007    ;2 ;150;113;31.4;324;;
195007    ;2 ;156;112;33;325;54;
195007    ;2 ;162;111.6;34.6;326;54;
195007    ;2 ;168;112.5;36.3;327;54;
195007    ;2 ;174;114;37.8;328;;
195007    ;2 ;180;116.3;39.9;329;;
195007    ;2 ;186;119.5;42.3;330;;
195007    ;2 ;192;123.3;44.6;331;;
195007    ;2 ;198;128.1;47;332;;
195007    ;2 ;204;134;49.5;333;;
195007    ;2 ;210;140.1;52.1;334;;
195007    ;2 ;216;145.9;54.8;335;;
195007    ;2 ;222;151.4;57.5;336;;
195007    ;2 ;228;153.2;58.7;337;;
195007    ;2 ;234;155.1;59.3;338;;
195007    ;2 ;240;157.1;59.9;339;;
195007    ;2 ;246;159;60.5;340;;
195008    ;TS;0;92.7;25;341;286;
195008    ;TS;6;91.4;25.8;342;286;
195008    ;TS;12;91;26;343;286;
195008    ;TS;18;90.5;26.2;344;286;
195008    ;TS;24;89.9;26.3;345;286;
195008    ;TS;30;89.3;26.4;346;995;
195008    ;TS;36;88.3;26.5;347;995;
195008    ;TS;42;87.3;26.5;348;;
195008    ;TS;48;86.4;26.4;349;996;
195008    ;TS;54;85.5;26.2;350;996;
195008    ;TS;60;84.5;25.8;351;996;
195008    ;TS;66;83.6;25.1;352;996;
195008    ;TS;72;82.9;24.3;353;996;
195008    ;TS;78;82.2;23.5;354;;
195008    ;TS;84;81.2;22.5;355;;
195009    ;2 ;0;89.4;20.8;356;178;
195009    ;2 ;6;89;20.8;357;178;
195009    ;2 ;12;88.4;20.9;358;178;
195009    ;2 ;18;87.8;21;359;178;
195009    ;2 ;24;87.3;21;360;178;
195009    ;2 ;30;86.8;21;361;178;
195009    ;2 ;36;86.1;20.9;362;670;
195009    ;2 ;42;85.4;20.6;363;670;
195009    ;2 ;48;85.1;20.3;364;670;
195009    ;2 ;54;84.7;19.9;365;670;
195009    ;2 ;60;84.1;18.8;366;;
195010    ;3 ;0;132.8;24.3;367;1946;
195010    ;3 ;6;131.8;24.2;368;1946;
195010    ;3 ;12;130.8;24.2;369;1946;
195010    ;3 ;18;129.8;24.2;370;1946;
195010    ;3 ;24;128.8;24.2;371;1946;
195010    ;3 ;30;127.6;24.4;372;;
195010    ;3 ;36;126.3;24.7;373;1947;
195010    ;3 ;42;125.4;25;374;1947;
195010    ;3 ;48;124.5;25.4;375;1947;
195010    ;3 ;54;123.3;26.1;376;1947;
195010    ;3 ;60;122.2;26.9;377;1947;
195010    ;3 ;66;121.4;27.6;378;;
195010    ;3 ;72;120.7;28.4;379;1948;
195010    ;3 ;78;120;29.5;380;1948;
195010    ;3 ;84;119.5;30.8;381;1948;
195010    ;3 ;90;119.8;32;382;1948;
195010    ;3 ;96;120.8;33.2;383;1948;
195010    ;3 ;102;121.8;34.2;384;;
195010    ;3 ;108;122.8;35.1;385;;
195010    ;3 ;114;123.8;35.9;386;;
195010    ;3 ;120;125;36.8;387;;
195010    ;3 ;126;128.5;38.8;388;;
195010    ;3 ;132;132.9;40.8;389;;
195010    ;3 ;138;135.5;41.9;390;;
195010    ;3 ;144;138;43;391;;
195010    ;3 ;150;140.1;44.1;392;;
195011    ;3 ;0;95.8;16;393;516;
195011    ;3 ;6;96.1;16;394;516;
195011    ;3 ;12;96.6;16;395;516;
195011    ;3 ;18;97;16;396;516;
195011    ;3 ;24;97.3;16;397;516;
195011    ;3 ;30;97.6;16.2;398;516;
195011    ;3 ;36;98.2;16.5;399;516;
195011    ;3 ;42;98.8;16.8;400;516;
195011    ;3 ;48;99.2;17;401;1695;
195011    ;3 ;54;99.6;17.3;402;517;
195011    ;3 ;60;100;17.7;403;517;
195011    ;3 ;66;100.4;18.2;404;517;
195011    ;3 ;72;100.9;18.9;405;517;
195011    ;3 ;78;101.3;19.6;406;517;
195011    ;3 ;84;101.5;20.2;407;1696;
195011    ;3 ;90;101.5;20.9;408;1696;
195011    ;3 ;96;101.4;21.9;409;1696;
195011    ;3 ;102;101;23;410;1696;
195011    ;3 ;108;100.7;23.8;411;1696;
195011    ;3 ;114;100.3;24.7;412;;
195011    ;3 ;120;99.8;25.8;413;1697;
195011    ;3 ;126;99.2;27;414;1697;
195011    ;3 ;132;98.5;28.6;415;1697;
195011    ;3 ;138;97.6;30;416;;
195011    ;3 ;144;96.5;31.1;417;;
195011    ;3 ;150;95.4;32.1;418;;
195012    ;TS;0;138;22;419;1575;
195012    ;TS;6;137.3;22.5;420;1575;
195012    ;TS;12;136.7;22.9;421;1575;
195012    ;TS;18;136.2;23.4;422;1575;
195012    ;TS;24;135.5;24.2;423;1575;
195012    ;TS;30;135.2;24.9;424;489;
195012    ;TS;36;135.1;25.4;425;489;
195012    ;TS;42;135.2;25.9;426;489;
195012    ;TS;48;135.4;26.5;427;489;
195012    ;TS;54;136.1;27.2;428;489;
195012    ;TS;60;137;28.2;429;1576;
195012    ;TS;66;138;29.2;430;1576;
195012    ;TS;72;139;30.1;431;1576;
195012    ;TS;78;140;30.8;432;1576;
195012    ;TS;84;141.2;31.4;433;;
195012    ;TS;90;142.4;32;434;1577;
195012    ;TS;96;143.2;32.4;435;1577;
195012    ;TS;102;144;33;436;1577;
195012    ;TS;108;145.4;34.6;437;;
195012    ;TS;114;147.1;36.4;438;;
195012    ;TS;120;148.2;38.1;439;;
195012    ;TS;126;150.8;39.6;440;;
195012    ;TS;132;152.6;39.5;441;1578;
195012    ;TS;138;154.1;38.6;442;1578;
195012    ;TS;144;155.1;37.8;443;1578;
195012    ;TS;150;156;37;444;1578;
195012    ;TS;156;156.9;36.2;445;;
195012    ;TS;162;157.6;35.4;446;1579;
195012    ;TS;168;158;34.7;447;1579;
195012    ;TS;174;158.3;34;448;1579;
195012    ;TS;180;157.4;31.6;449;;
195013    ;1 ;0;90.8;27.5;450;179;
195013    ;1 ;6;89.2;27.5;451;179;
195013    ;1 ;12;88.1;27;452;179;
195013    ;1 ;18;87.9;26.7;453;179;
195013    ;1 ;24;87.8;26.5;454;179;
195013    ;1 ;30;87.7;26.3;455;179;
195013    ;1 ;36;87.8;26.1;456;179;
195013    ;1 ;42;88.9;25.4;457;179;
195013    ;1 ;48;90.6;25.3;458;179;
195013    ;1 ;54;91.8;25.7;459;179;
195013    ;1 ;60;93;26.1;460;179;
195013    ;1 ;66;93.9;26.5;461;671;
195013    ;1 ;72;94.8;27.1;462;671;
195013    ;1 ;78;96.1;28.2;463;;
195013    ;1 ;84;97;29.8;464;;
195013    ;1 ;90;96.9;30.1;465;;
195101    ;3 ;0;115.4;28;466;1724;
195101    ;3 ;6;113.5;30;467;1724;
195101    ;3 ;12;112.9;30.8;468;1724;
195101    ;3 ;18;111.5;31.4;469;;
195101    ;3 ;24;109.2;31.9;470;;
195101    ;3 ;30;106.8;31.8;471;;
195101    ;3 ;36;104.7;31;472;;
195101    ;3 ;42;102.9;30.1;473;524;
195101    ;3 ;48;101.8;29.4;474;524;
195101    ;3 ;54;101.4;28.7;475;524;
195101    ;3 ;60;101.2;28;476;524;
195101    ;3 ;66;101.3;27.3;477;524;
195101    ;3 ;72;101.8;26.9;478;524;
195101    ;3 ;78;102.3;27;479;524;
195101    ;3 ;84;102.7;27.2;480;524;
195101    ;3 ;90;103;27.4;481;524;
195101    ;3 ;96;103.3;27.7;482;524;
195101    ;3 ;102;103.7;28.1;483;524;
195101    ;3 ;108;104;28.8;484;524;
195101    ;3 ;114;104.2;29.7;485;524;
195101    ;3 ;120;104.4;30.6;486;524;
195101    ;3 ;126;104.6;31.5;487;524;
195101    ;3 ;132;104.7;32.4;488;524;
195101    ;3 ;138;104.8;33.2;489;1725;
195101    ;3 ;144;105.3;34.4;490;;
195101    ;3 ;150;105.8;35.5;491;1726;
195101    ;3 ;156;106.4;35.9;492;1726;
195101    ;3 ;162;107;36.2;493;1726;
195101    ;3 ;168;107.8;36.5;494;1726;
195101    ;3 ;174;108.8;36.6;495;1726;
195101    ;3 ;180;109.8;36.6;496;1726;
195101    ;3 ;186;111;36.5;497;;
195101    ;3 ;192;113;36.4;498;1727;
195101    ;3 ;198;115;36.5;499;1727;
195101    ;3 ;204;116.4;37.1;500;1727;
195101    ;3 ;210;117.7;37.9;501;;
195101    ;3 ;216;118.8;38.7;502;;
195101    ;3 ;222;120;39.5;503;;
195101    ;3 ;228;120.8;40.1;504;;
195102    ;TS;0;128;21;505;2042;
195102    ;TS;6;125.7;22;506;2042;
195102    ;TS;12;124.6;22.7;507;2042;
195102    ;TS;18;123.5;23.7;508;;
195102    ;TS;24;122.5;24.9;509;2043;
195102    ;TS;30;121.5;26.2;510;2043;
195102    ;TS;36;120.7;27.4;511;2043;
195102    ;TS;42;120;28.6;512;2043;
195102    ;TS;48;119.5;29.9;513;;
195102    ;TS;54;119.2;31.3;514;2044;
195102    ;TS;60;119;32.8;515;2044;
195102    ;TS;66;119;34.3;516;2044;
195102    ;TS;72;119.1;35.4;517;2044;
195102    ;TS;78;119.2;36.2;518;;
195102    ;TS;84;121;39;519;;
195103    ;4 ;0;134.3;12.2;520;622;
195103    ;4 ;6;133.8;12.3;521;622;
195103    ;4 ;12;133.2;12.4;522;622;
195103    ;4 ;18;132.5;12.6;523;622;
195103    ;4 ;24;131.6;12.8;524;622;
195103    ;4 ;30;130.8;13;525;2088;
195103    ;4 ;36;130.1;13.2;526;2088;
195103    ;4 ;42;129.4;13.4;527;2088;
195103    ;4 ;48;128.7;13.6;528;;
195103    ;4 ;54;127.8;13.8;529;2089;
195103    ;4 ;60;126.5;14;530;2089;
195103    ;4 ;66;124.7;14.3;531;2089;
195103    ;4 ;72;122.8;14.6;532;;
195103    ;4 ;78;121;14.9;533;2090;
195103    ;4 ;84;119.3;15.2;534;2090;
195103    ;4 ;90;117.5;15.4;535;2090;
195103    ;4 ;96;115.2;15.7;536;;
195103    ;4 ;102;113;16;537;2091;
195103    ;4 ;108;111.3;16.1;538;2091;
195103    ;4 ;114;109.7;16.2;539;2091;
195103    ;4 ;120;107.9;16.4;540;;
195103    ;4 ;126;106.1;16.8;541;2092;
195103    ;4 ;132;104.3;17.4;542;2092;
195103    ;4 ;138;102.6;18.1;543;2092;
195103    ;4 ;144;101.1;18.2;544;;
195103    ;4 ;150;99.5;18.2;545;2093;
195103    ;4 ;156;98.3;18.5;546;2093;
195103    ;4 ;162;96.9;19;547;2093;
195103    ;4 ;168;95.9;19.3;548;2093;
195103    ;4 ;174;95;19.5;549;2093;
195103    ;4 ;180;93.9;19.8;550;;
195103    ;4 ;186;92.8;20.2;551;2094;
195103    ;4 ;192;91.6;20.6;552;2094;
195103    ;4 ;198;90.3;21.1;553;2094;
195103    ;4 ;204;89.1;21.4;554;2094;
195103    ;4 ;210;88;21.6;555;623;
195103    ;4 ;216;87;21.6;556;623;
195103    ;4 ;222;86.2;21.6;557;623;
195103    ;4 ;228;85.7;21.6;558;623;
195103    ;4 ;234;85.1;21.7;559;623;
195103    ;4 ;240;84.2;21.8;560;2095;
195103    ;4 ;246;83.3;22;561;624;
195103    ;4 ;252;82.7;22.1;562;624;
195103    ;4 ;258;82;22.2;563;624;
195103    ;4 ;264;81.3;22.3;564;624;
195103    ;4 ;270;80.6;22.5;565;624;
195103    ;4 ;276;80.1;21.9;566;;
195104    ;3 ;0;154.4;12.3;567;7;
195104    ;3 ;6;153.4;12.3;568;7;
195104    ;3 ;12;152.4;12.3;569;7;
195104    ;3 ;18;151.3;12.2;570;7;
195104    ;3 ;24;150.2;12.1;571;7;
195104    ;3 ;30;149;12;572;;
195104    ;3 ;36;147.7;12;573;8;
195104    ;3 ;42;146.4;12;574;8;
195104    ;3 ;48;145.1;12;575;8;
195104    ;3 ;54;143.7;12.1;576;8;
195104    ;3 ;60;142;12.2;577;;
195104    ;3 ;66;140.3;12.4;578;9;
195104    ;3 ;72;138.7;12.7;579;9;
195104    ;3 ;78;137;13;580;9;
195104    ;3 ;84;135.3;13.2;581;;
195104    ;3 ;90;133.5;13.4;582;10;
195104    ;3 ;96;131.6;13.7;583;10;
195104    ;3 ;102;129.8;14;584;10;
195104    ;3 ;108;128.3;14;585;;
195104    ;3 ;114;126.8;14;586;11;
195104    ;3 ;120;125.3;14.1;587;11;
195104    ;3 ;126;123.8;14.1;588;11;
195104    ;3 ;132;122.4;14.1;589;11;
195104    ;3 ;138;121.2;14.1;590;;
195104    ;3 ;144;120;14.1;591;12;
195104    ;3 ;150;118.7;14.1;592;12;
195104    ;3 ;156;117.2;14.2;593;12;
195104    ;3 ;162;115.6;14.3;594;12;
195104    ;3 ;168;114.1;14.4;595;;
